Location ID,Location Name,2017 SDI Index Value,SDI Quintile
73,Western Europe,0.856820142,
74,Andorra,0.901838419,High SDI
75,Austria,0.866029424,High SDI
76,Belgium,0.886479194,High SDI
77,Cyprus,0.86457342,High SDI
78,Denmark,0.917864091,High SDI
79,Finland,0.892872363,High SDI
80,France,0.864667258,High SDI
81,Germany,0.869902009,High SDI
82,Greece,0.816993531,High SDI
83,Iceland,0.907023083,High SDI
84,Ireland,0.882181159,High SDI
85,Israel,0.81594436,High-middle SDI
86,Italy,0.843401161,High SDI
87,Luxembourg,0.915748227,High SDI
88,Malta,0.835898842,High SDI
89,Netherlands,0.911855053,High SDI
90,Norway,0.910905362,High SDI
91,Portugal,0.777927627,High-middle SDI
92,Spain,0.824616837,High SDI
93,Sweden,0.883490275,High SDI
4944,Stockholm,0.914447593,High SDI
4940,Sweden except Stockholm,0.872833379,High SDI
94,Switzerland,0.888752501,High SDI
95,United Kingdom,0.843093074,High SDI
4749,England,0.848869853,High SDI
4621,East Midlands,0.83007704,High SDI
4623,East of England,0.840300066,High SDI
4624,Greater London,0.894369062,High SDI
4618,North East England,0.820735615,High SDI
4619,North West England,0.833664296,High SDI
4625,South East England,0.856169812,High SDI
4626,South West England,0.841270041,High SDI
4622,West Midlands,0.829368047,High SDI
4620,Yorkshire and the Humber,0.829690925,High SDI
433,Northern Ireland,0.835352065,High SDI
434,Scotland,0.805372811,High SDI
4636,Wales,0.805748561,High SDI
103,Latin America and Caribbean,0.639865451,
120,Andean Latin America,0.628313955,
121,Bolivia,0.587409304,Low-middle SDI
122,Ecuador,0.635566909,Middle SDI
123,Peru,0.635787809,Middle SDI
104,Caribbean,0.637604561,
105,Antigua and Barbuda,0.715130979,High-middle SDI
106,The Bahamas,0.75556215,High-middle SDI
107,Barbados,0.739423177,High-middle SDI
108,Belize,0.602243591,Low-middle SDI
305,Bermuda,0.80545317,High-middle SDI
109,Cuba,0.687667664,Middle SDI
110,Dominica,0.68658657,Middle SDI
111,Dominican Republic,0.592640504,Low-middle SDI
112,Grenada,0.640418422,Middle SDI
113,Guyana,0.583747015,Low-middle SDI
114,Haiti,0.441665969,Low SDI
115,Jamaica,0.678532504,Middle SDI
385,Puerto Rico,0.812984477,High-middle SDI
116,Saint Lucia,0.652614198,Middle SDI
117,Saint Vincent and the Grenadines,0.608304473,Middle SDI
118,Suriname,0.64099299,Middle SDI
119,Trinidad and Tobago,0.698405348,Middle SDI
422,"Virgin Islands, U.S.",0.806568682,High-middle SDI
124,Central Latin America,0.623192305,
125,Colombia,0.633692252,Middle SDI
126,Costa Rica,0.662129526,Middle SDI
127,El Salvador,0.59309467,Low-middle SDI
